meanEarningsPlayers,meanTournamentPrizePool,medianEarningsPlayers,medianTournamentPrizePool,totalActivePlayers,totalPrize,totalTournaments,year
3527.56,24206.34,551.34,1782.18,10945,38609110.42,1595,2020
8773.9,44059.45,671.28,1467.5,25982,227963579.09,5174,2019
6016.56,24349.09,350.0,800.0,19369,116534743.88,4786,2017
7249.76,36508.14,602.66,1900.0,22666,164323129.29,4501,2018
5915.7,20555.73,283.54,529.04,16599,98194740.59,4777,2016
4696.8,12771.55,215.93,400.37,14303,67178344.27,5260,2015
4627.52,11987.6,286.65,500.0,8129,37617094.04,3138,2014
3783.7,9683.51,350.0,400.66,5894,22301125.78,2303,2013
2897.9,7084.39,302.83,500.0,4882,14147526.17,1997,2012
2757.07,6301.39,280.0,240.0,3810,10504423.48,1667,2011
1846.71,6380.91,259.7,401.0,3400,6278818.1,984,2010
1570.82,6214.68,292.73,1000.0,2627,4126547.06,664,2009
2882.28,13667.06,490.49,3201.43,2589,7462214.43,546,2008
2937.48,14612.36,484.86,5000.0,2532,7437690.6,509,2007
2868.7,14017.67,500.0,5699.27,1979,5677157.04,405,2006
2838.32,12701.26,600.0,3841.38,1517,4305727.46,339,2005
1941.48,10785.17,400.0,2500.0,1461,2836500.59,263,2004
1921.98,9537.58,490.96,1700.0,923,1773989.66,186,2003
1722.81,12102.74,350.0,2202.03,562,968219.59,80,2002
2138.19,14186.74,486.75,7000.0,418,893764.46,63,2001
2888.79,11466.27,400.0,4100.0,258,745307.49,65,2000
3930.77,17197.12,1000.0,13888.72,70,275153.84,16,1999
3873.53,14633.33,1250.0,15000.0,34,131700.0,9,1998
